# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -530 3 4 66306 19533714 1 /home/rajkumar/.config/JetBrains/PyCharmCE2021.1/port
DUPTYPE_FIRST_OCCURRENCE 25357 5 4 66306 21234965 1 /home/rajkumar/.local/lib/python3.8/site-packages/HTMLTestRunner_Python3-0.8.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 22678147 1 /home/rajkumar/.local/lib/python3.8/site-packages/pyqtgraph-0.11.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 20580161 1 /home/rajkumar/.local/lib/python3.8/site-packages/PyQt5_Qt-5.15.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23597817 1 /home/rajkumar/.local/lib/python3.8/site-packages/pytz-2021.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 20580155 1 /home/rajkumar/.local/lib/python3.8/site-packages/pyqt5_tools-5.15.2.3.0.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 18620006 1 /home/rajkumar/.local/lib/python3.8/site-packages/jupyter-1.0.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19530866 1 /home/rajkumar/.local/lib/python3.8/site-packages/argon2_cffi-20.1.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 21238357 1 /home/rajkumar/.local/lib/python3.8/site-packages/html_test_report-1.0.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 8 4 66306 21238879 1 /home/rajkumar/PycharmProjects/pythonProject/pythonProject/venv/lib/python3.8/site-packages/setuptools-54.2.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 25166317 1 /home/rajkumar/.local/lib/python3.8/site-packages/PyQtChart_Qt5-5.15.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 25166311 1 /home/rajkumar/.local/lib/python3.8/site-packages/PyQt5-5.15.4.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23201357 1 /home/rajkumar/.local/lib/python3.8/site-packages/jupyter_client-6.1.11.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 8 4 66306 21502973 1 /home/rajkumar/PycharmProjects/pythonProject/linux_tasks/venv/lib/python3.8/site-packages/pip-21.1.1.dist-info/top_level.txt
DUPTYPE_WITHIN_SAME_TREE -25357 8 4 66306 21502978 1 /home/rajkumar/PycharmProjects/pythonProject/linux_tasks/venv/lib/python3.8/site-packages/pip-21.1.1.dist-info/INSTALLER
